nombre,dia,horario,proporcion_diaria,proporcion_total
Don't Stop Me Now - Remastered 2011,domingo,mañana,17.66268260292165,2.1468926553672314
Light It Up (feat. Nyla & Fuse ODG) [Remix],domingo,mañana,17.66268260292165,2.1468926553672314
RON COLA,domingo,mañana,17.66268260292165,2.1468926553672314
Graduados - Tan Biónica,domingo,mañana,17.66268260292165,2.1468926553672314
Muñecas,domingo,mañana,17.66268260292165,2.1468926553672314
Muñecas,domingo,mañana,17.66268260292165,2.1468926553672314
Warriors,domingo,mañana,17.66268260292165,2.1468926553672314
Can't Hold Us (feat. Ray Dalton),domingo,mañana,17.66268260292165,2.1468926553672314
LUZ DELITO,domingo,mañana,17.66268260292165,2.1468926553672314
Lauty Gram | Omar Algo Anda Mal #3,domingo,mañana,17.66268260292165,2.1468926553672314
Lauty Gram | Omar Algo Anda Mal #3,domingo,mañana,17.66268260292165,2.1468926553672314
Warriors,domingo,mañana,17.66268260292165,2.1468926553672314
Graduados - Tan Biónica,domingo,mañana,17.66268260292165,2.1468926553672314
TIERRA ZANTA,domingo,mañana,17.66268260292165,2.1468926553672314
ARGENTINA,domingo,mañana,17.66268260292165,2.1468926553672314
Hablando a Tu Corazón,domingo,mañana,17.66268260292165,2.1468926553672314
sure thing (sped up),domingo,tarde,44.48871181938911,5.407586763518967
Snap Out Of It,domingo,tarde,44.48871181938911,5.407586763518967
Lost in the Fire (feat. The Weeknd),domingo,tarde,44.48871181938911,5.407586763518967
I Wanna Be Yours,domingo,tarde,44.48871181938911,5.407586763518967
Softcore,domingo,tarde,44.48871181938911,5.407586763518967
Renegade & I Was Never There,domingo,tarde,44.48871181938911,5.407586763518967
Another Love - Slowed and Muffled,domingo,tarde,44.48871181938911,5.407586763518967
Shut up My Moms Calling,domingo,tarde,44.48871181938911,5.407586763518967
suicide yr,domingo,tarde,44.48871181938911,5.407586763518967
Daddy Issues,domingo,tarde,44.48871181938911,5.407586763518967
"Sex, Drugs, Etc.",domingo,tarde,44.48871181938911,5.407586763518967
sure thing (sped up),domingo,tarde,44.48871181938911,5.407586763518967
Snap Out Of It,domingo,tarde,44.48871181938911,5.407586763518967
Heat Waves,domingo,tarde,44.48871181938911,5.407586763518967
After Dark,domingo,tarde,44.48871181938911,5.407586763518967
TIERRA ZANTA,domingo,tarde,44.48871181938911,5.407586763518967
En La Ciudad De La Furia - Remasterizado 2007,domingo,tarde,44.48871181938911,5.407586763518967
En La Ciudad De La Furia - Remasterizado 2007,domingo,tarde,44.48871181938911,5.407586763518967
Graduados - Tan Biónica,domingo,tarde,44.48871181938911,5.407586763518967
Hablando a Tu Corazón,domingo,tarde,44.48871181938911,5.407586763518967
TIERRA ZANTA,domingo,tarde,44.48871181938911,5.407586763518967
ARGENTINA,domingo,tarde,44.48871181938911,5.407586763518967
Mil Horas,domingo,tarde,44.48871181938911,5.407586763518967
Cabildo y Juramento,domingo,tarde,44.48871181938911,5.407586763518967
Corazón Delator,domingo,tarde,44.48871181938911,5.407586763518967
Toco Y Me Voy,domingo,tarde,44.48871181938911,5.407586763518967
Lauty Gram | Omar Algo Anda Mal #3,domingo,tarde,44.48871181938911,5.407586763518967
Warriors,domingo,tarde,44.48871181938911,5.407586763518967
Light It Up (feat. Nyla & Fuse ODG) [Remix],domingo,tarde,44.48871181938911,5.407586763518967
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],domingo,tarde,44.48871181938911,5.407586763518967
Ramenez la coupe à la maison,domingo,tarde,44.48871181938911,5.407586763518967
Olé Olé (feat. Ronaldinho Gaúcho),domingo,tarde,44.48871181938911,5.407586763518967
Can't Hold Us (feat. Ray Dalton),domingo,tarde,44.48871181938911,5.407586763518967
Lights - Sped Up Version,domingo,tarde,44.48871181938911,5.407586763518967
Pabajo,domingo,tarde,44.48871181938911,5.407586763518967
AUTOMÁTICO,domingo,tarde,44.48871181938911,5.407586763518967
AUTOMÁTICO,domingo,noche,37.84860557768924,4.600484261501211
Space Wind,lunes,noche,30.153121319199055,4.1323648103309125
First Class Seat,lunes,noche,30.153121319199055,4.1323648103309125
Windy Cave,lunes,noche,30.153121319199055,4.1323648103309125
A Dampened Rumble,lunes,noche,30.153121319199055,4.1323648103309125
10.000 Feet Sound,lunes,noche,30.153121319199055,4.1323648103309125
Sonitus IV,lunes,noche,30.153121319199055,4.1323648103309125
Deep Mindset,lunes,mañana,27.67962308598351,3.7933817594834545
Focus Waves,lunes,mañana,27.67962308598351,3.7933817594834545
Warriors,lunes,mañana,27.67962308598351,3.7933817594834545
Lauty Gram | Omar Algo Anda Mal #3,lunes,mañana,27.67962308598351,3.7933817594834545
Lauty Gram | Omar Algo Anda Mal #3,lunes,mañana,27.67962308598351,3.7933817594834545
Lauty Gram | Omar Algo Anda Mal #3,lunes,mañana,27.67962308598351,3.7933817594834545
Lauty Gram | Omar Algo Anda Mal #3,lunes,mañana,27.67962308598351,3.7933817594834545
After Dark,lunes,mañana,27.67962308598351,3.7933817594834545
Muñecas,lunes,mañana,27.67962308598351,3.7933817594834545
RON COLA,lunes,mañana,27.67962308598351,3.7933817594834545
ARRANCARMELO,lunes,tarde,42.16725559481743,5.778853914447135
Por Mil Noches,lunes,tarde,42.16725559481743,5.778853914447135
TIERRA ZANTA,lunes,tarde,42.16725559481743,5.778853914447135
BUENOS AIRES,lunes,tarde,42.16725559481743,5.778853914447135
ARGENTINA,lunes,tarde,42.16725559481743,5.778853914447135
Mil Horas,lunes,tarde,42.16725559481743,5.778853914447135
Graduados - Tan Biónica,lunes,tarde,42.16725559481743,5.778853914447135
Cabildo y Juramento,lunes,tarde,42.16725559481743,5.778853914447135
En La Ciudad De La Furia - Remasterizado 2007,lunes,tarde,42.16725559481743,5.778853914447135
Toco Y Me Voy,lunes,tarde,42.16725559481743,5.778853914447135
Corazón Delator,lunes,tarde,42.16725559481743,5.778853914447135
ARRANCARMELO,lunes,tarde,42.16725559481743,5.778853914447135
Hablando a Tu Corazón,lunes,tarde,42.16725559481743,5.778853914447135
Tiempo,lunes,tarde,42.16725559481743,5.778853914447135
ARRANCARMELO,lunes,tarde,42.16725559481743,5.778853914447135
Lo Que Hoy Quieras,lunes,tarde,42.16725559481743,5.778853914447135
Confianza,lunes,tarde,42.16725559481743,5.778853914447135
Summertime Sadness,lunes,tarde,42.16725559481743,5.778853914447135
Ahi Ahi Ahi - Rkt,lunes,tarde,42.16725559481743,5.778853914447135
Can't Hold Us (feat. Ray Dalton),lunes,tarde,42.16725559481743,5.778853914447135
RON COLA,lunes,tarde,42.16725559481743,5.778853914447135
RON COLA,lunes,tarde,42.16725559481743,5.778853914447135
beau-papa,lunes,tarde,42.16725559481743,5.778853914447135
Don't Stop Me Now - Remastered 2011,lunes,tarde,42.16725559481743,5.778853914447135
"Shakira: Bzrp Music Sessions, Vol. 53",lunes,tarde,42.16725559481743,5.778853914447135
Ramenez la coupe à la maison,lunes,tarde,42.16725559481743,5.778853914447135
beau-papa,lunes,tarde,42.16725559481743,5.778853914447135
Heart Out,lunes,tarde,42.16725559481743,5.778853914447135
Hablando a Tu Corazón,lunes,tarde,42.16725559481743,5.778853914447135
Olé Olé (feat. Ronaldinho Gaúcho),lunes,tarde,42.16725559481743,5.778853914447135
Don't Stop Me Now - Remastered 2011,lunes,tarde,42.16725559481743,5.778853914447135
Joga Essa Rabeta,lunes,tarde,42.16725559481743,5.778853914447135
Por Deporte,lunes,tarde,42.16725559481743,5.778853914447135
Por Deporte,lunes,tarde,42.16725559481743,5.778853914447135
PUNTO G,lunes,tarde,42.16725559481743,5.778853914447135
Fireflies,lunes,tarde,42.16725559481743,5.778853914447135
The Gaels,lunes,tarde,42.16725559481743,5.778853914447135
Love You,lunes,tarde,42.16725559481743,5.778853914447135
Fog on the Bay,lunes,tarde,42.16725559481743,5.778853914447135
"Soldier, Poet, King",lunes,tarde,42.16725559481743,5.778853914447135
En La Ciudad De La Furia - Remasterizado 2007,lunes,tarde,42.16725559481743,5.778853914447135
beau-papa,lunes,tarde,42.16725559481743,5.778853914447135
Toco Y Me Voy,lunes,tarde,42.16725559481743,5.778853914447135
"Muchachos, Ahora Nos Volvimos a Ilusionar",lunes,tarde,42.16725559481743,5.778853914447135
Lauty Gram | Omar Algo Anda Mal #3,lunes,tarde,42.16725559481743,5.778853914447135
Lauty Gram | Omar Algo Anda Mal #3,lunes,tarde,42.16725559481743,5.778853914447135
Warriors,lunes,tarde,42.16725559481743,5.778853914447135
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],lunes,tarde,42.16725559481743,5.778853914447135
Summertime Sadness,lunes,tarde,42.16725559481743,5.778853914447135
Ahi Ahi Ahi - Rkt,lunes,tarde,42.16725559481743,5.778853914447135
RON COLA,lunes,tarde,42.16725559481743,5.778853914447135
Ramenez la coupe à la maison,lunes,tarde,42.16725559481743,5.778853914447135
Graduados - Tan Biónica,lunes,tarde,42.16725559481743,5.778853914447135
Muñecas,lunes,tarde,42.16725559481743,5.778853914447135
Can't Hold Us (feat. Ray Dalton),lunes,tarde,42.16725559481743,5.778853914447135
California Gurls,lunes,tarde,42.16725559481743,5.778853914447135
"Shakira: Bzrp Music Sessions, Vol. 53",lunes,tarde,42.16725559481743,5.778853914447135
RON COLA,martes,noche,31.961471103327494,5.89184826472962
Ahi Ahi Ahi - Rkt,martes,noche,31.961471103327494,5.89184826472962
Lauty Gram | Omar Algo Anda Mal #3,martes,noche,31.961471103327494,5.89184826472962
Ahi Ahi Ahi - Rkt,martes,noche,31.961471103327494,5.89184826472962
Warriors,martes,noche,31.961471103327494,5.89184826472962
Warriors,martes,noche,31.961471103327494,5.89184826472962
"Soldier, Poet, King",martes,noche,31.961471103327494,5.89184826472962
"Soldier, Poet, King",martes,noche,31.961471103327494,5.89184826472962
"Soldier, Poet, King",martes,noche,31.961471103327494,5.89184826472962
"Soldier, Poet, King",martes,noche,31.961471103327494,5.89184826472962
Sinatra,martes,noche,31.961471103327494,5.89184826472962
Heart of Courage,martes,noche,31.961471103327494,5.89184826472962
Strength of a Thousand Men,martes,noche,31.961471103327494,5.89184826472962
Victory,martes,noche,31.961471103327494,5.89184826472962
Protectors of the Earth,martes,noche,31.961471103327494,5.89184826472962
First Class Seat,martes,noche,31.961471103327494,5.89184826472962
VAR DE PELEAS CON AMIGOS,martes,mañana,31.61120840630473,5.8272800645682
VAR DE PELEAS CON AMIGOS,martes,mañana,31.61120840630473,5.8272800645682
"Soldier, Poet, King",martes,mañana,31.61120840630473,5.8272800645682
VAR DE PELEAS CON AMIGOS,martes,mañana,31.61120840630473,5.8272800645682
Ahi Ahi Ahi - Rkt,martes,mañana,31.61120840630473,5.8272800645682
"Shakira: Bzrp Music Sessions, Vol. 53",martes,mañana,31.61120840630473,5.8272800645682
Muñecas,martes,mañana,31.61120840630473,5.8272800645682
California Gurls,martes,mañana,31.61120840630473,5.8272800645682
Lauty Gram | Omar Algo Anda Mal #3,martes,mañana,31.61120840630473,5.8272800645682
Olé Olé (feat. Ronaldinho Gaúcho),martes,mañana,31.61120840630473,5.8272800645682
AUTOMÁTICO,martes,mañana,31.61120840630473,5.8272800645682
Light It Up (feat. Nyla & Fuse ODG) [Remix],martes,mañana,31.61120840630473,5.8272800645682
Light It Up (feat. Nyla & Fuse ODG) [Remix],martes,tarde,36.42732049036778,6.715092816787732
Lauty Gram | Omar Algo Anda Mal #3,martes,tarde,36.42732049036778,6.715092816787732
California Gurls,martes,tarde,36.42732049036778,6.715092816787732
Muñecas,martes,tarde,36.42732049036778,6.715092816787732
TOP 5,martes,tarde,36.42732049036778,6.715092816787732
Loca,martes,tarde,36.42732049036778,6.715092816787732
Paro - Speed Up,martes,tarde,36.42732049036778,6.715092816787732
Bella y Sensual,martes,tarde,36.42732049036778,6.715092816787732
La Corriente,martes,tarde,36.42732049036778,6.715092816787732
Nostálgico,martes,tarde,36.42732049036778,6.715092816787732
Under The Influence,martes,tarde,36.42732049036778,6.715092816787732
Mi Nena Facebook,martes,tarde,36.42732049036778,6.715092816787732
Danza Kuduro,martes,tarde,36.42732049036778,6.715092816787732
Pla Cacha Pla Remix,martes,tarde,36.42732049036778,6.715092816787732
Lights - Sped Up Version,martes,tarde,36.42732049036778,6.715092816787732
Mami Quiebra La Cintura,martes,tarde,36.42732049036778,6.715092816787732
"Shakira: Bzrp Music Sessions, Vol. 53",martes,tarde,36.42732049036778,6.715092816787732
"Shakira: Bzrp Music Sessions, Vol. 53",martes,tarde,36.42732049036778,6.715092816787732
Messirve Mix 5,martes,tarde,36.42732049036778,6.715092816787732
La Joaqui | Omar Algo Anda Mal #5,martes,tarde,36.42732049036778,6.715092816787732
Joga Essa Rabeta,martes,tarde,36.42732049036778,6.715092816787732
Monotonía,martes,tarde,36.42732049036778,6.715092816787732
Hoy Volvi a Verte - Remix,martes,tarde,36.42732049036778,6.715092816787732
SIN SEÑAL,martes,tarde,36.42732049036778,6.715092816787732
Cosas Malas - Remix,martes,tarde,36.42732049036778,6.715092816787732
Ella - Remix,martes,tarde,36.42732049036778,6.715092816787732
Ella - Remix,martes,tarde,36.42732049036778,6.715092816787732
"Soldier, Poet, King",martes,tarde,36.42732049036778,6.715092816787732
"Soldier, Poet, King",martes,tarde,36.42732049036778,6.715092816787732
PUNTO G,martes,tarde,36.42732049036778,6.715092816787732
GATÚBELA,martes,tarde,36.42732049036778,6.715092816787732
